State,Nameplate Capacity (MW),Net Generation (MWh),Coal,Oil,Gas,Other Fossil,Nuclear,Hydro,Biomass,Wind,Solar,Geothermal,Other unknown/ purchased fuel
AK,"3,534","6,156,047",11.70%,16.00%,42.90%,0.00%,0.00%,26.70%,0.60%,2.10%,0.00%,0.00%,0.00%
AL,"40,373","136,842,032",15.80%,0.00%,40.00%,0.00%,31.80%,9.80%,2.40%,0.00%,0.30%,0.00%,0.00%
AR,"20,268","54,641,259",28.20%,0.10%,33.50%,0.00%,27.60%,8.40%,1.70%,0.00%,0.50%,0.00%,0.00%
AZ,"42,863","109,305,057",12.60%,0.00%,46.50%,0.00%,28.90%,5.90%,0.20%,0.60%,5.30%,0.00%,0.00%
CA,"118,351","192,954,153",0.20%,0.00%,47.70%,0.80%,8.40%,11.00%,3.00%,7.00%,15.70%,5.90%,0.30%
CO,"23,545","53,792,187",36.10%,0.00%,33.10%,0.00%,0.00%,2.80%,0.30%,24.80%,2.80%,0.00%,0.10%
CT,"13,060","41,190,572",0.00%,0.10%,57.10%,0.00%,38.10%,0.80%,3.30%,0.00%,0.50%,0.00%,0.00%
DC,53,"174,521",0.00%,0.00%,61.30%,0.00%,0.00%,0.00%,31.40%,0.00%,7.30%,0.00%,0.00%
DE,"4,180","5,205,372",2.00%,0.20%,92.60%,2.80%,0.00%,0.00%,1.40%,0.10%,1.00%,0.00%,0.00%
FL,"108,916","250,780,435",6.60%,0.70%,75.50%,0.00%,11.70%,0.10%,2.20%,0.00%,2.60%,0.00%,0.50%
GA,"53,810","119,593,376",11.60%,0.20%,49.00%,0.10%,27.40%,3.60%,4.90%,0.00%,3.20%,0.00%,0.00%
HI,"4,137","9,069,240",12.80%,67.80%,0.00%,0.00%,0.00%,1.10%,5.00%,6.40%,5.30%,0.10%,1.30%
IA,"27,338","59,636,672",23.70%,0.20%,11.80%,0.00%,4.90%,1.70%,0.30%,57.30%,0.00%,0.00%,0.00%
ID,"6,215","17,674,572",0.10%,0.00%,23.50%,0.00%,0.00%,53.80%,2.90%,15.70%,3.20%,0.50%,0.30%
IL,"68,479","173,337,706",18.00%,0.00%,14.10%,0.20%,57.80%,0.10%,0.20%,9.40%,0.00%,0.00%,0.10%
IN,"43,027","90,072,288",53.00%,0.10%,35.60%,2.50%,0.00%,0.30%,0.50%,7.00%,0.40%,0.00%,0.50%
KS,"22,702","54,541,831",31.10%,0.10%,5.10%,0.00%,19.40%,0.10%,0.10%,43.90%,0.10%,0.00%,0.00%
KY,"30,297","63,513,834",68.70%,0.10%,22.60%,0.10%,0.00%,7.90%,0.50%,0.00%,0.10%,0.00%,0.00%
LA,"37,167","100,554,705",3.70%,3.40%,70.40%,1.70%,16.90%,1.20%,2.10%,0.00%,0.00%,0.00%,0.60%
MA,"19,622","18,195,165",0.00%,0.20%,77.90%,0.00%,0.00%,2.40%,10.50%,1.30%,7.70%,0.00%,0.00%
MD,"18,108","35,998,333",9.30%,0.20%,39.10%,0.00%,41.90%,4.70%,1.80%,1.50%,1.50%,0.00%,0.00%
ME,"6,020","10,001,870",0.60%,0.40%,19.00%,1.40%,0.00%,31.60%,21.80%,23.90%,0.30%,0.00%,1.00%
MI,"42,473","106,624,721",26.20%,0.90%,34.20%,1.00%,28.40%,0.80%,2.00%,6.30%,0.10%,0.00%,0.00%
MN,"23,774","56,500,627",24.80%,0.10%,20.90%,0.00%,26.00%,1.80%,2.50%,20.90%,2.90%,0.00%,0.10%
MO,"26,365","71,871,122",71.20%,0.10%,10.30%,0.00%,10.80%,2.60%,0.20%,4.70%,0.10%,0.00%,0.00%
MS,"20,190","66,499,288",6.90%,0.00%,80.60%,0.00%,9.70%,0.00%,2.10%,0.00%,0.60%,0.00%,0.00%
MT,"8,784","23,353,290",36.40%,2.00%,1.20%,0.10%,0.00%,46.00%,0.10%,13.10%,0.10%,0.00%,1.00%
NC,"51,418","124,334,265",16.70%,0.10%,33.30%,0.20%,34.00%,6.40%,2.00%,0.40%,6.60%,0.00%,0.20%
ND,"10,710","42,176,424",58.10%,0.10%,3.50%,0.10%,0.00%,5.80%,0.00%,32.30%,0.00%,0.00%,0.10%
NE,"13,135","36,756,239",50.90%,0.00%,3.30%,0.00%,16.80%,3.80%,0.20%,24.80%,0.10%,0.00%,0.00%
NH,"4,877","16,340,973",0.80%,0.30%,22.30%,0.00%,60.40%,7.50%,5.60%,3.20%,0.00%,0.00%,0.00%
NJ,"28,091","61,106,458",1.50%,0.10%,50.00%,0.30%,43.70%,0.00%,2.10%,0.00%,2.10%,0.00%,0.00%
NM,"17,004","34,005,839",37.60%,0.10%,35.10%,0.00%,0.00%,0.60%,0.10%,21.20%,5.10%,0.20%,0.00%
NV,"25,204","40,335,220",4.80%,0.00%,66.30%,0.00%,0.00%,4.80%,0.10%,0.70%,13.70%,9.40%,0.10%
NY,"55,721","129,411,955",0.10%,0.30%,40.90%,0.00%,29.70%,22.60%,2.30%,3.50%,0.60%,0.00%,0.00%
OH,"49,068","120,992,733",37.20%,1.00%,43.30%,0.60%,15.10%,0.30%,0.60%,1.90%,0.10%,0.00%,0.00%
OK,"39,030","82,297,831",7.20%,0.00%,53.20%,0.00%,0.00%,3.30%,0.40%,35.70%,0.10%,0.00%,0.00%
OR,"20,755","63,624,782",2.60%,0.00%,29.90%,0.00%,0.00%,50.20%,1.60%,13.80%,1.70%,0.30%,0.00%
PA,"69,417","230,134,953",10.20%,0.00%,52.50%,0.30%,33.20%,0.90%,1.20%,1.60%,0.10%,0.00%,0.00%
PR,"6,449","18,215,878",16.80%,49.90%,30.90%,0.00%,0.00%,0.00%,0.00%,0.80%,1.60%,0.00%,0.00%
RI,"2,709","8,893,740",0.00%,0.10%,93.00%,0.00%,0.00%,0.00%,2.30%,2.40%,2.20%,0.00%,0.00%
SC,"33,945","98,528,797",12.60%,0.10%,24.60%,0.00%,55.60%,3.20%,2.10%,0.00%,1.70%,0.00%,0.00%
SD,"6,907","14,146,526",11.70%,0.10%,7.80%,0.00%,0.00%,41.20%,0.10%,39.20%,0.00%,0.00%,0.00%
TN,"28,492","80,566,010",17.70%,0.10%,19.40%,0.00%,45.50%,15.80%,0.90%,0.00%,0.40%,0.00%,0.00%
TX,"209,808","473,366,237",16.70%,0.00%,52.10%,0.60%,8.80%,0.20%,0.30%,19.50%,1.80%,0.00%,0.10%
UT,"13,125","37,087,309",61.50%,0.10%,25.50%,0.00%,0.00%,2.20%,0.20%,2.20%,6.90%,1.00%,0.30%
VA,"41,415","102,799,856",3.70%,0.20%,60.70%,0.00%,29.30%,0.90%,3.90%,0.00%,1.30%,0.00%,0.00%
VT,946,"2,154,918",0.00%,0.10%,0.10%,0.00%,0.00%,52.40%,21.30%,17.80%,8.40%,0.00%,0.00%
WA,"34,732","116,079,174",4.50%,0.00%,12.10%,0.30%,8.10%,65.80%,1.30%,8.00%,0.00%,0.00%,0.00%
WI,"23,176","61,440,538",38.70%,0.20%,35.80%,0.00%,15.90%,4.50%,1.90%,2.90%,0.10%,0.00%,0.00%
WV,"20,873","56,661,533",88.60%,0.30%,4.90%,0.10%,0.00%,2.80%,0.00%,3.30%,0.00%,0.00%,0.00%
WY,"15,534","42,010,990",79.40%,0.10%,3.30%,0.90%,0.00%,2.60%,0.00%,13.10%,0.40%,0.00%,0.20%
U.S.,"1,656,188","4,021,549,453",19.30%,0.70%,40.50%,0.30%,19.60%,7.00%,1.50%,8.40%,2.20%,0.40%,0.10%
,,,,,,,,,,,,,
,,,,,,,,,,,,,
